EmployeeID,BaseSalary,OvertimePay,Deductions,GrossSalary,NetSalary
E120,1368.0,1500.0,161.38,2868.0,2706.62
  E121  ,1545.0,1400.0,179.32,2945.0,2765.68
  E122  ,2358.0,150.0,138.11,2508.0,2369.89
E123,2363.0,1050.0,264.33,3413.0,3148.67
E124,1547.0,400.0,200.81,1947.0,1746.19
E125,1938.0,,235.1,2338.0,2102.9
E126,3356.0,400.0,195.33,3756.0,3560.67
E127,1378.0,900.0,90.15,2278.0,2187.85
E128,3121.0,900.0,378.16,4021.0,3642.84
  E129  ,3676.0,1150.0,,4826.0,4409.18
E130,2317.0,250.0,287.23,2567.0,2279.77
E131,2731.0,50.0,223.03,2781.0,2557.97
,3135.0,0.0,190.15,3135.0,2944.85
  E133  ,3693.0,750.0,186.57,4443.0,4256.43
E134,3751.0,1900.0,303.18,5651.0,5347.82
  E135  ,1206.0,550.0,103.71,1756.0,1652.29
  E136  ,3279.0,100.0,252.41,3379.0,3126.59
  E137  ,1476.0,1050.0,,2526.0,2432.64
E138,,400.0,131.77,,2185.23
E139,1371.0,1500.0,130.09,2871.0,2740.91
  E140  ,1395.0,1350.0,147.14,2745.0,2597.86
E141,3237.0,1350.0,293.93,4587.0,4293.07
E142,1620.0,1900.0,85.25,3520.0,3434.75
E143,3718.0,2000.0,317.49,5718.0,5400.51
  E144  ,1784.0,200.0,105.8,1984.0,1878.2
E145,3981.0,1800.0,437.13,5781.0,5343.87
  E146  ,2222.0,1200.0,183.19,3422.0,3238.81
E147,3706.0,400.0,328.07,4106.0,3777.93
E148,3993.0,1750.0,316.18,5743.0,5426.82
E149,3283.0,750.0,291.46,4033.0,3741.54
E150,3459.0,1250.0,202.25,4709.0,4506.75
E151,3831.0,1100.0,536.78,4931.0,4394.22
E152,1426.0,500.0,200.38,1926.0,1725.62
E153,2226.0,2000.0,329.04,4226.0,3896.96
  E154  ,3578.0,,383.55,4628.0,4244.45
  E155  ,2063.0,,138.13,3613.0,
  E156  ,1498.0,1450.0,131.93,2948.0,2816.07
E157,2507.0,1600.0,160.16,4107.0,3946.84
E158,2215.0,1950.0,177.45,4165.0,3987.55
E159,1977.0,950.0,196.34,2927.0,2730.66
  E160  ,2186.0,900.0,123.13,3086.0,2962.87
E161,2965.0,1150.0,277.13,4115.0,3837.87
E162,1501.0,850.0,138.26,2351.0,2212.74
E163,2588.0,1600.0,254.72,4188.0,3933.28
E164,3140.0,400.0,181.15,3540.0,3358.85
E165,2425.0,1700.0,182.29,4125.0,3942.71
E166,1648.0,50.0,123.04,1698.0,1574.96
  E167  ,3590.0,,403.89,4790.0,4386.11
E168,2915.0,1950.0,318.84,4865.0,4546.16
E169,3912.0,1450.0,272.1,5362.0,5089.9
E170,2342.0,900.0,142.15,3242.0,3099.85
E171,2320.0,1200.0,,3520.0,
E172,1523.0,650.0,220.66,2173.0,1952.34
  E173  ,3603.0,700.0,299.85,4303.0,4003.15
E174,1611.0,1300.0,180.46,2911.0,2730.54
E175,1442.0,100.0,188.05,1542.0,
E176,1963.0,1900.0,162.84,3863.0,3700.16
E177,1749.0,1050.0,146.0,2799.0,2653.0
E178,2408.0,2000.0,316.77,4408.0,4091.23
E179,1590.0,0.0,216.16,1590.0,1373.84
E180,2436.0,1150.0,,3586.0,3226.88
E181,2473.0,700.0,157.31,3173.0,3015.69
E182,3681.0,1700.0,302.09,5381.0,5078.91
E183,2681.0,1600.0,388.02,4281.0,3892.98
,3986.0,,279.36,,5306.64
E185,3509.0,50.0,285.7,3559.0,3273.3
  E186  ,2611.0,1500.0,382.4,4111.0,3728.6
E187,3845.0,1200.0,564.72,5045.0,4480.28
E188,2809.0,50.0,,2859.0,2636.68
E189,2140.0,600.0,255.72,2740.0,2484.28
  E190  ,1475.0,150.0,146.17,1625.0,1478.83
E191,1431.0,1000.0,153.96,2431.0,2277.04
E192,2430.0,550.0,180.41,2980.0,2799.59
  E193  ,2505.0,550.0,219.45,3055.0,2835.55
  E194  ,1436.0,400.0,189.05,1836.0,1646.95
E195,3042.0,150.0,271.63,3192.0,2920.37
E196,1970.0,650.0,120.94,2620.0,2499.06
E197,1680.0,1250.0,178.73,2930.0,2751.27
E198,2671.0,1450.0,291.73,,3829.27
  E199  ,1387.0,1750.0,145.03,3137.0,2991.97
E200,3533.0,1050.0,417.5,4583.0,4165.5
,3062.0,1900.0,272.26,4962.0,4689.74
E016,2553.0,1550.0,343.81,4103.0,3759.19
E031,1301.0,750.0,128.52,2051.0,1922.48
  E159  ,1977.0,950.0,196.34,2927.0,2730.66
E129,3676.0,1150.0,,4826.0,4409.18
E116,2107.0,350.0,208.72,2457.0,2248.28
E070,3953.0,1500.0,421.33,5453.0,5031.67
E171,2320.0,1200.0,,3520.0,
E175,1442.0,100.0,188.05,1542.0,
E046,2916.0,700.0,201.77,3616.0,3414.23
